pair,sentences,pred,TRUE,,,,single,sentences,pred,TRUE,,,duplicated,,
6735,"Obviously the best convenient places to stay are in LOCATION2 transit location , Leicester Square , or LOCATION1 , but also very expensive",0,1,,,,7115,"in LOCATION1 , that way when you are going to and from LOCATION2 transit location all you have to do is get on the train and not have to worry about getting across London on the Tube with your suitcases and risk delays and so on",2,0,,,#N/A,,
6737,"Depends on your budget , if it 's tight then look at the LOCATION1 , LOCATION2 price",0,1,,,,7139,I lived in London last year in LOCATION2 transit location which is very close to LOCATION1 via train,1,0,,,#N/A,,
6755,"Central London can be split into three main sections , the London , LOCATION2 transit location , and LOCATION1",0,1,,,,7168,LOCATION1 is more leafy and near LOCATION2 general - quite nice,1,0,,,437,,
6771,LOCATION2 transit location is a brilliant place to live LOCATION1 ( Northern Line on the Tube ) is a great location,1,0,,,,7204,"Have a great time in LOCATION2 general and LOCATION1 You have to beware of scams , but it seems good",1,0,,,439,,
6772,You could go South of the river and look at LOCATION2 general or LOCATION1 both of which are in zones 1 and 2 and have good transport links,0,1,,,,7206,"Have a great time in LOCATION2 safety and LOCATION1 You have to beware of scams , but it seems good",0,2,,,440,,
6776,"Other areas to consider are LOCATION1 ( North London ) or LOCATION2 general ( South London ) , you 're in zone 2 there",0,1,,,,7224,"I think I 'd like to live in LOCATION2 general as I have heard quite a few good things about the areas , especially LOCATION1 in particular",0,1,,,441,,
6783,"For more affordable but still buzzing suburbs home to many working travellers , try LOCATION1 , LOCATION2 transit location",0,1,,,,7249,"LOCATION1 area , more posh and a better quality of living than in LOCATION2 price",2,0,,,#N/A,,
6790,"Yeah , LOCATION1 has it fair share of violence , but so does LOCATION2 safety",0,2,,,,7252,"But the two areas you have mentioned LOCATION2 general and LOCATION1 , depending on what parts you go to are no worse than other parts of London and in some ways are among the safer areas the Metropolis that is London",2,0,,,#N/A,,
6811,LOCATION1 / LOCATION2 transit location is a bit busy but with great places to walk and there are lots of houses which are away from any main roads,2,0,,,,7276,"If you want to live in LOCATION1 , try aiming for LOCATION2 general",1,0,,,#N/A,,
6820,#NAME?,0,1,,,,7302,I have a friend that wants me to go there and visit but being a Caucasian male i am dubious Does LOCATION1 or LOCATION2 safety have problems with violence,2,0,,,444,,
6835,"London LOCATION2 transit location Airport has a dedicated rail line to LOCATION1 Rail Station , and The Piccadilly line on the 'tube ' also goes to the Airport , that 's going to be the most easy way , it also has a bus service but I have never used it",1,0,,,,7329,The outskirts of London ( for example LOCATION1 in LOCATION2 price ) are filled with pretty wealthy areas,2,0,,,445,,
6842,"You 're right in that LOCATION2 safety , LOCATION1 , etc are very expensive , but most of the nice and safe places will be expensive too",1,0,,,,7347,Top end of LOCATION2 transit location is just a few minutes walk from the lovely area that is LOCATION1 ( the Parliament Hill end ),1,0,,,#N/A,,
6852,Otherwise LOCATION1 has loads of parks and is calm but generally quite expensive - LOCATION2 general is probably a good place to start and does have some cheaper places,1,0,,,,7356,is your best bet Enter your requirements on am thinking of LOCATION2 general and preferably near LOCATION1,0,1,,,447,,
6864,"Or you could try LOCATION1 , but I would start with LOCATION2 general",0,1,,,,7363,I live in LOCATION1 which is in LOCATION2 transit location there are lots of train links and buses which are regular and easily acessable,1,0,,,448,,
6871,"Further out , and a little less hip but still fun , are LOCATION2 transit location ( south east ) and LOCATION1 ( south west )",0,2,,,,7364,"LOCATION1 and LOCATION2 general Sorry , but it depends on the colour of your skin",2,0,,,#N/A,,
6872,You could try researching LOCATION2 general and places near it like LOCATION1,0,1,,,,7375,"LOCATION1 , LOCATION2 transit location , there are literally dozens of areas Do n't restrict yourself to the Tube Network",2,0,,,#N/A,,
6888,"Anywhere around LOCATION1 , LOCATION2 general I 'd stay clear off especially after dark",0,2,,,,7404,"As a general rule , anywhere on the LOCATION1 branch of the Northern Line is ok - except perhaps LOCATION2 general and Archway which are a bit dangerous / grubby",0,2,,,449,,
6890,"Anywhere around LOCATION1 , LOCATION2 safety I 'd stay clear off especially after dark",0,2,,,,7408,"I wear trainers , a hoodie and a jacket if it 's raining A string bikini and high heels would get you warmed up Brilliant ideas , some have n't done , LOCATION1 great @ LOCATION2 general",1,0,,,#N/A,,
6932,"LOCATION1 , up-market , posh and expensive ; LOCATION2 general down-market , cheap and shabby",1,2,,,,7428,More affordable than LOCATION1 and with quite a division between good and bad areas is LOCATION2 general,2,0,,,#N/A,,
6933,"LOCATION1 , up-market , posh and expensive ; LOCATION2 price down-market , cheap and shabby",2,1,,,,7465,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 price , very safe and quiet and a little cheaper than nice areas that are more central",1,0,,,451,,
6954,"The boroughs with the lowest crime statistics are outer southwest - LOCATION1 , LOCATION2 safety",0,1,,,,7466,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 safety , very safe and quiet and a little cheaper than nice areas that are more central",1,0,,,452,,
6985,"You could go to LOCATION2 price ( an Indian area ) or LOCATION1 and buy things cheap from Indian shops there , until you have had a chance to explore other reasonable shops",0,1,,,,7467,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 transit location , very safe and quiet and a little cheaper than nice areas that are more central",1,0,,,453,,
6989,"Still , if you 're working on a budget then I still think that the LOCATION2 price / LOCATION1 area is your best bet",0,1,,,,7470,"Heading towards LOCATION1 can get a little bit rougher , there are n't really any rough areas near LOCATION2 safety , just loads and loads of tourists",0,1,,,454,,
6992,Would not say LOCATION1 or LOCATION2 general less pleasant,2,1,,,,7476,Look at LOCATION1 and LOCATION2 general,1,0,,,455,,
6996,I like the London borough of LOCATION2 general in the south and the LOCATION1 in the north,0,1,,,,7480,"LOCATION1 is a suburb of LOCATION2 general really , but its terrible",2,0,,,#N/A,,
7004,"Even in LOCATION1 there are safe places to bring up children , such as LOCATION2 general which is very friendly",1,0,,,,7500,"LOCATION1 , LOCATION2 general still good but less leafy I swear prices go up to millions in central London",1,0,,,456,,
7006,"Even in LOCATION1 there are safe places to bring up children , such as LOCATION2 safety which is very friendly",0,1,,,,7501,"LOCATION1 , LOCATION2 price still good but less leafy I swear prices go up to millions in central London",1,0,,,457,,
7027,", LOCATION2 transit location is quite isolated while LOCATION1 has a street full of shops and amenities , but is quite small and does n't have a tube close",2,0,,,,7503,"LOCATION1 , LOCATION2 transit location still good but less leafy I swear prices go up to millions in central London",1,0,,,#N/A,,
7030,LOCATION1 is great Tube/overground/THE COMMONS I have lived in LOCATION2 safety for 25 years and it 's now one the most safest places to live,0,1,,,,7515,I was about equidistant from LOCATION1 and LOCATION2 transit location tube stations on the Northern Line,1,0,,,458,,
7057,"And West , plenty of ( rich ) people live in LOCATION1 and LOCATION2 price London and Greater London are different names for the exact same area",2,0,,,,,,,,,,,,
7068,I would advise you a nice area in LOCATION2 general called LOCATION1,1,0,,,,,,,,,,,,
7083,The proposed north-south cross-river tramway between LOCATION2 transit location and LOCATION1 is also in doubt Central London used to be run entirely on trams many decades ago,1,0,,,,,,,,,,,,
7167,This would increase the already saturated congestion especially between LOCATION1 and LOCATION2 transit location,2,0,,,,,,,,,,,,
7168,LOCATION1 is more leafy and near LOCATION2 general - quite nice,1,0,,,,,,,,,,,,
7179,"Are there any places that are nice and not too expensive , but also not way out in the outskirts ( i e LOCATION1 , LOCATION2 transit location , Biggin Hill , etc )",2,0,,,,,,,,,,,,
7204,"Have a great time in LOCATION2 general and LOCATION1 You have to beware of scams , but it seems good",1,0,,,,,,,,,,,,
7206,"Have a great time in LOCATION2 safety and LOCATION1 You have to beware of scams , but it seems good",0,2,,,,,,,,,,,,
7224,"I think I 'd like to live in LOCATION2 general as I have heard quite a few good things about the areas , especially LOCATION1 in particular",0,1,,,,,,,,,,,,
7254,"But the two areas you have mentioned LOCATION2 safety and LOCATION1 , depending on what parts you go to are no worse than other parts of London and in some ways are among the safer areas the Metropolis that is London",1,0,,,,,,,,,,,,
7259,"I can see the LOCATION1 is full of new apartment blocks , close to LOCATION2 transit location and links to the London , yet the rent is cheap",1,0,,,,,,,,,,,,
7302,I have a friend that wants me to go there and visit but being a Caucasian male i am dubious Does LOCATION1 or LOCATION2 safety have problems with violence,2,0,,,,,,,,,,,,
7329,The outskirts of London ( for example LOCATION1 in LOCATION2 price ) are filled with pretty wealthy areas,2,0,,,,,,,,,,,,
7352,"Pretty safe area too Parts of LOCATION1 are less than lovely , especially around the Shopping London , however as you move backwards down Station Road towards the LOCATION2 general some of it is quite nice , especially around the train station",0,1,,,,,,,,,,,,
7356,is your best bet Enter your requirements on am thinking of LOCATION2 general and preferably near LOCATION1,0,1,,,,,,,,,,,,
7363,I live in LOCATION1 which is in LOCATION2 transit location there are lots of train links and buses which are regular and easily acessable,1,0,,,,,,,,,,,,
7404,"As a general rule , anywhere on the LOCATION1 branch of the Northern Line is ok - except perhaps LOCATION2 general and Archway which are a bit dangerous / grubby",0,2,,,,,,,,,,,,
7453,"LOCATION1 is fashionable so it is more expensive than for instance LOCATION2 price north , north west , central , west tend to be more expensive yes",2,0,,,,,,,,,,,,
7465,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 price , very safe and quiet and a little cheaper than nice areas that are more central",1,0,,,,,,,,,,,,
7466,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 safety , very safe and quiet and a little cheaper than nice areas that are more central",1,0,,,,,,,,,,,,
7467,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 transit location , very safe and quiet and a little cheaper than nice areas that are more central",1,0,,,,,,,,,,,,
7470,"Heading towards LOCATION1 can get a little bit rougher , there are n't really any rough areas near LOCATION2 safety , just loads and loads of tourists",0,1,,,,,,,,,,,,
7476,Look at LOCATION1 and LOCATION2 general,1,0,,,,,,,,,,,,
7500,"LOCATION1 , LOCATION2 general still good but less leafy I swear prices go up to millions in central London",1,0,,,,,,,,,,,,
7501,"LOCATION1 , LOCATION2 price still good but less leafy I swear prices go up to millions in central London",1,0,,,,,,,,,,,,
7515,I was about equidistant from LOCATION1 and LOCATION2 transit location tube stations on the Northern Line,1,0,,,,,,,,,,,,
